[08/19/20 15:34:01] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:51:00] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:52:06] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:53:17] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:55:03] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:57:59] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:59:14] [INFO] received Windows console close event; shutting log-core down
[08/19/20 22:04:27] [INFO] received Windows console close event; shutting log-core down
[08/19/20 22:06:25] [INFO] received Windows console close event; shutting log-core down
[08/20/20 21:07:16] [INFO] received Windows console close event; shutting log-core down
[08/20/20 21:14:00] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:33:40] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:35:02] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:35:27] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:36:12] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:37:50] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:40:20] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:40:44] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:42:06] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:44:31] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:45:43] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:45:49] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:46:14] [INFO] received Windows console close event; shutting log-core down
[08/22/20 20:10:00] [INFO] received Windows console close event; shutting log-core down
[08/22/20 20:11:12] [INFO] received Windows console close event; shutting log-core down
[08/22/20 20:14:00] [INFO] received Windows console close event; shutting log-core down
[08/23/20 13:10:33] [INFO] received Windows console close event; shutting log-core down
[08/23/20 13:13:09] [INFO] received Windows console close event; shutting log-core down
[08/23/20 13:15:17] [INFO] received Windows console close event; shutting log-core down
[08/23/20 13:22:07] [INFO] received Windows console close event; shutting log-core down
[08/23/20 13:22:11] [INFO] received Windows console close event; shutting log-core down
[08/25/20 18:16:40] [INFO] received Windows console close event; shutting log-core down
[08/25/20 18:17:57] [INFO] received Windows console close event; shutting log-core down
[08/25/20 18:18:46] [INFO] received Windows console close event; shutting log-core down
[08/25/20 18:20:07] [INFO] received Windows console close event; shutting log-core down
[08/25/20 18:21:31] [INFO] received Windows console close event; shutting log-core down
[08/25/20 18:43:25] [INFO] received Windows console close event; shutting log-core down
[08/29/20 18:36:15] [INFO] received Windows console close event; shutting log-core down
[08/29/20 18:43:43] [INFO] received Windows console close event; shutting log-core down
[08/29/20 19:12:26] [INFO] received Windows console close event; shutting log-core down
[08/29/20 22:05:34] [INFO] received Windows console close event; shutting log-core down
[08/29/20 22:06:28] [INFO] received Windows console close event; shutting log-core down
[08/29/20 22:36:08] [INFO] received Windows console close event; shutting log-core down
[08/30/20 00:12:09] [INFO] received Windows console close event; shutting log-core down
[08/30/20 00:37:36] [INFO] received Windows console close event; shutting log-core down
[08/30/20 00:45:10] [INFO] received Windows console close event; shutting log-core down
[08/30/20 15:17:40] [INFO] received Windows console close event; shutting log-core down
[12/11/20 01:06:19] [INFO] received Windows console close event; shutting log-core down
[12/11/20 01:14:37] [INFO] received Windows console close event; shutting log-core down
[12/11/20 01:40:17] [INFO] received Windows console close event; shutting log-core down
[12/11/20 11:54:41] [INFO] received Windows console close event; shutting log-core down
[12/11/20 12:12:51] [INFO] received Windows console close event; shutting log-core down
[12/11/20 12:26:43] [INFO] received Windows console close event; shutting log-core down
[12/11/20 12:30:22] [INFO] received Windows console close event; shutting log-core down
[12/11/20 12:31:36] [INFO] received Windows console close event; shutting log-core down
[12/11/20 12:32:03] [INFO] received Windows console close event; shutting log-core down
[12/11/20 12:37:10] [INFO] received Windows console close event; shutting log-core down
[12/12/20 18:28:49] [INFO] received Windows console close event; shutting log-core down
[12/13/20 17:36:21] [INFO] received Windows console close event; shutting log-core down
[12/13/20 17:40:42] [INFO] received Windows console close event; shutting log-core down
[12/13/20 17:42:08] [INFO] received Windows console close event; shutting log-core down
[12/20/20 00:00:29] [INFO] received Windows console close event; shutting log-core down
[12/20/20 00:03:41] [INFO] received Windows console close event; shutting log-core down
[12/28/20 14:07:21] [INFO] received Windows console close event; shutting log-core down
[12/31/20 12:05:11] [INFO] received Windows console close event; shutting log-core down
[12/31/20 12:08:41] [INFO] received Windows console close event; shutting log-core down
[01/06/21 21:18:20] [INFO] received Windows console close event; shutting log-core down
[01/06/21 22:02:19] [INFO] received Windows console close event; shutting log-core down
[01/06/21 22:21:39] [INFO] received Windows console close event; shutting log-core down
[01/07/21 13:04:44] [INFO] received Windows console close event; shutting log-core down
[01/07/21 13:07:49] [INFO] received Windows console close event; shutting log-core down
[01/07/21 13:43:40] [INFO] received Windows console close event; shutting log-core down
[01/07/21 13:47:57] [INFO] received Windows console close event; shutting log-core down
[01/07/21 14:32:21] [INFO] received Windows console close event; shutting log-core down
[01/09/21 12:47:03] [INFO] received Windows console close event; shutting log-core down
[01/09/21 12:49:43] [INFO] received Windows console close event; shutting log-core down
[01/09/21 13:05:20] [INFO] received Windows console close event; shutting log-core down
[01/11/21 17:16:37] [INFO] received Windows console close event; shutting log-core down
[01/11/21 19:18:07] [INFO] received Windows console close event; shutting log-core down
[01/11/21 19:51:27] [INFO] received Windows console close event; shutting log-core down
[01/11/21 19:59:50] [INFO] received Windows console close event; shutting log-core down
[01/12/21 19:15:12] [INFO] received Windows console close event; shutting log-core down
[01/12/21 19:27:25] [INFO] received Windows console close event; shutting log-core down
[01/12/21 22:11:35] [INFO] received Windows console close event; shutting log-core down
[01/15/21 00:41:51] [INFO] received Windows console close event; shutting log-core down
[01/24/21 19:17:01] [INFO] received Windows console close event; shutting log-core down
[01/24/21 20:53:46] [INFO] received Windows console close event; shutting log-core down
[02/04/21 21:05:34] [INFO] received Windows console close event; shutting log-core down
[02/04/21 21:05:48] [INFO] received Windows console close event; shutting log-core down
[02/04/21 21:07:06] [INFO] received Windows console close event; shutting log-core down
[02/07/21 15:45:07] [INFO] received Windows console close event; shutting log-core down
[03/04/21 23:55:55] [INFO] received Windows console close event; shutting log-core down
[03/11/21 15:33:06] [INFO] received Windows console close event; shutting log-core down
[03/11/21 17:28:37] [INFO] received Windows console close event; shutting log-core down
[03/11/21 17:42:36] [INFO] received Windows console close event; shutting log-core down
